open,high,low,close,volume,vwap,timestamp,transactions,otc
497,497.49,494.97,497.39,13864,496.932,1713513600000,193,
497.53,497.54,497.48,497.54,2654,497.5072,1713513660000,31,
497.43,497.45,497.29,497.3,4637,497.3864,1713513720000,31,
497.3,497.3,497.22,497.3,1033,497.2737,1713513780000,14,
497.39,497.44,497.39,497.44,802,497.4197,1713513840000,7,
497.42,497.49,497.35,497.49,3689,497.4317,1713513900000,31,
497.43,497.43,497.34,497.38,933,497.375,1713513960000,7,
497.3,497.3,496.97,497.03,2994,497.1527,1713514020000,21,
497.01,497.05,496.92,497.05,3589,496.9704,1713514080000,31,
497.06,497.3,497.06,497.3,1653,497.2156,1713514140000,16,
497.06,497.06,496.88,496.88,5768,497.0303,1713514260000,32,
497.01,497.01,496.73,496.73,1237,496.8644,1713514320000,14,
496.91,496.91,496.76,496.76,994,496.8376,1713514380000,16,
496.76,496.94,496.68,496.94,853,496.8199,1713514440000,19,
496.97,497.1,496.97,497.1,865,497.021,1713514500000,7,
497.18,497.23,497.18,497.23,416,497.212,1713514560000,10,
497.14,497.27,497.14,497.27,2042,497.2526,1713514620000,12,
497.53,497.53,497.49,497.49,411,497.4909,1713514680000,8,
497.63,497.78,497.63,497.73,2999,497.6804,1713514740000,26,
497.74,497.74,497.59,497.6,607,497.6586,1713514800000,14,
497.45,497.54,497.45,497.5,575,497.4912,1713514860000,10,
497.63,497.63,497.63,497.63,222,497.6001,1713514920000,5,
497.46,497.47,497.46,497.47,734,497.4616,1713514980000,16,
497.5,497.5,497.5,497.5,391,497.5054,1713515040000,8,
497.65,497.66,497.65,497.66,383,497.6584,1713515100000,9,
497.74,497.88,497.74,497.88,2108,497.7875,1713515160000,15,
497.84,497.84,497.79,497.79,523,497.8008,1713515220000,7,
497.76,497.76,497.75,497.75,1296,497.7593,1713515280000,9,
497.75,497.75,497.62,497.62,3240,497.705,1713515340000,19,
497.65,497.65,497.36,497.36,2195,497.4609,1713515460000,14,
497.37,497.37,497.3,497.3,375,497.336,1713515580000,7,
497.25,497.29,497.25,497.29,751,497.2738,1713515640000,11,
497.07,497.07,497.07,497.07,270,497.1039,1713515700000,16,
497.04,497.04,497.04,497.04,634,497.0426,1713515760000,4,
497.15,497.15,497.15,497.15,275,497.15,1713515880000,2,
497.18,497.2,497.18,497.2,2432,497.1874,1713515940000,13,
497.12,497.12,497.12,497.12,378,497.1196,1713516000000,8,
497.07,497.07,496.89,496.89,2316,496.9948,1713516060000,24,
496.77,496.77,496.77,496.77,1113,496.7794,1713516180000,11,
497,497,497,497,363,496.9968,1713516300000,6,
496.97,496.97,496.97,496.97,179,496.9454,1713516360000,5,
496.9,496.9,496.9,496.9,228,496.8798,1713516480000,9,
497.04,497.08,497.04,497.08,3863,497.054,1713516540000,20,
497.15,497.25,497.15,497.25,2376,497.1983,1713516600000,12,
497.26,497.3,497.26,497.3,983,497.2876,1713516660000,14,
497.19,497.19,497.19,497.19,161,497.1891,1713516840000,4,
497.19,497.19,497.19,497.19,269,497.2325,1713517020000,8,
497.11,497.11,497.11,497.11,198,497.1171,1713517200000,5,
497.5,497.59,497.5,497.59,522,497.5437,1713517320000,8,
497.62,497.62,497.62,497.62,262,497.5747,1713517380000,6,
497.22,497.23,497.1,497.1,1011,497.2088,1713518040000,9,
497.52,497.52,497.52,497.52,557,497.5058,1713518160000,9,
497.4,497.4,497.4,497.4,207,497.3992,1713518340000,8,
497.4,497.6,497.4,497.6,439,497.5292,1713518400000,15,
497.67,497.67,497.67,497.67,286,497.6436,1713518460000,5,
497.58,497.58,497.52,497.52,432,497.5666,1713518580000,4,
497.59,497.59,497.51,497.51,403,497.5501,1713518640000,5,
497.54,497.56,497.5,497.52,20163,497.5294,1713518700000,65,
497.53,497.72,497.53,497.7,25445,497.6347,1713518760000,71,
497.68,497.76,497.68,497.76,1561,497.7447,1713518820000,29,
497.76,497.77,497.64,497.77,8392,497.6604,1713518880000,37,
497.71,497.71,497.71,497.71,674,497.7263,1713518940000,10,
497.86,497.86,497.86,497.86,526,497.8605,1713519000000,5,
497.86,497.97,497.86,497.97,3802,497.9226,1713519060000,21,
497.97,498,497.97,498,630,497.978,1713519120000,16,
497.99,498.13,497.97,498.13,1584,498.0388,1713519240000,12,
498.12,498.16,498.11,498.16,2789,498.1318,1713519300000,14,
498.12,498.12,498.11,498.11,423,498.1296,1713519360000,10,
498.17,498.17,498.16,498.16,860,498.1693,1713519420000,8,
498.15,498.17,498.1,498.1,569,498.1419,1713519480000,4,
498.09,498.09,498.09,498.09,628,498.0948,1713519540000,8,
497.89,497.89,497.89,497.89,270,497.8981,1713519600000,3,
497.87,497.87,497.87,497.87,280,497.8879,1713519720000,5,
497.85,497.85,497.8,497.8,1145,497.8071,1713519780000,4,
497.85,497.85,497.85,497.85,155,497.8596,1713519840000,8,
497.78,497.91,497.78,497.91,1715,497.8408,1713519900000,16,
497.94,497.94,497.81,497.81,1280,497.8559,1713519960000,7,
497.96,497.96,497.93,497.93,4126,497.95,1713520020000,15,
497.84,497.84,497.84,497.84,49451,497.84,1713520140000,152,
497.96,497.96,497.96,497.96,127,497.952,1713520200000,6,
497.74,497.74,497.74,497.74,805,497.7545,1713520320000,6,
497.83,497.83,497.83,497.83,259,497.8391,1713520440000,2,
497.9,497.93,497.9,497.93,4001,497.911,1713520500000,14,
497.75,497.75,497.7,497.7,833,497.7152,1713520620000,10,
497.63,497.63,497.63,497.63,100,497.63,1713520680000,1,
497.63,497.7,497.62,497.7,4302,497.6553,1713520800000,12,
497.78,497.78,497.78,497.78,142,497.7813,1713520860000,5,
497.62,497.62,497.61,497.61,1457,497.619,1713520980000,5,
497.94,497.94,497.78,497.78,824,497.8904,1713521040000,6,
497.87,498.25,497.86,498.24,1587,497.9719,1713521100000,11,
498.23,498.25,498.14,498.24,4125,498.1939,1713521160000,22,
498.22,498.36,498.22,498.36,1569,498.3486,1713521220000,15,
498.23,498.23,498.1,498.1,919,498.1754,1713521280000,15,
498.09,498.15,498.09,498.15,630,498.1237,1713521340000,6,
498.25,498.25,498.13,498.13,9676,498.133,1713521400000,22,
498.08,498.08,497.94,497.94,24220,497.9852,1713521460000,38,
497.98,497.98,497.78,497.8,69081,497.8431,1713521520000,107,
497.82,497.87,497.8,497.87,430,497.8221,1713521580000,7,
497.83,497.83,497.6,497.6,3595,497.6932,1713521700000,20,
497.66,497.67,497.66,497.67,447,497.6661,1713521820000,21,
497.61,497.61,497.57,497.57,400,497.5998,1713521940000,10,
497.52,497.52,497.42,497.42,5634,497.5152,1713522000000,42,
497.44,497.54,497.4,497.4,5379,497.4969,1713522060000,30,
497.41,497.42,497.41,497.42,1341,497.4096,1713522120000,28,
497.35,497.35,497.3,497.3,605,497.3224,1713522180000,12,
497.29,497.29,497.25,497.25,355,497.2584,1713522240000,10,
497.25,497.25,497.25,497.25,355,497.2582,1713522360000,11,
497.37,497.39,497.33,497.39,6428,497.3631,1713522420000,25,
497.46,497.51,497.45,497.51,2983,497.4802,1713522480000,26,
497.5,497.5,497.5,497.5,435,497.5025,1713522540000,9,
497.56,497.56,497.46,497.46,5017,497.5408,1713522660000,25,
497.51,497.51,497.51,497.51,123,497.5172,1713522900000,7,
497.54,497.56,497.54,497.56,22011,497.5584,1713522960000,64,
497.48,497.48,497.48,497.48,557,497.483,1713523020000,14,
497.32,497.32,497.29,497.3,689,497.3106,1713523080000,15,
497.18,497.24,497.18,497.23,2426,497.2232,1713523200000,23,
497.39,497.39,497.33,497.33,2547,497.3662,1713523260000,18,
497.13,497.13,497.13,497.13,281,497.1393,1713523320000,13,
497.07,497.07,497.04,497.04,3307,497.0522,1713523380000,28,
497.04,497.04,497.04,497.04,199,497.0621,1713523440000,16,
497.23,497.25,497.22,497.22,3258,497.2374,1713523500000,26,
497.38,497.4,497.37,497.4,786,497.3888,1713523620000,19,
497.4,497.4,497.4,497.4,2108,497.3956,1713523680000,13,
497.37,497.37,497.22,497.24,754,497.3207,1713523800000,10,
