open,high,low,close,volume,vwap,timestamp,transactions,otc
518.32,518.4,518.25,518.26,3912,518.2952,1712649600000,35,
518.54,518.54,518.54,518.54,359,518.5318,1712649780000,6,
518.56,518.56,518.56,518.56,279,518.5517,1712649840000,5,
518.48,518.48,518.48,518.48,103,518.4805,1712649900000,3,
518.48,518.48,518.48,518.48,518,518.4825,1712649960000,4,
518.42,518.42,518.38,518.38,628,518.4118,1712650020000,6,
518.33,518.33,518.33,518.33,201,518.3382,1712650080000,2,
518.34,518.35,518.34,518.35,591,518.3438,1712650260000,4,
518.35,518.35,518.29,518.29,1022,518.3438,1712650320000,6,
518.4,518.4,518.4,518.4,312,518.401,1712650380000,4,
518.59,518.59,518.59,518.59,271,518.5848,1712650620000,3,
518.67,518.67,518.67,518.67,120,518.6717,1712650860000,2,
518.68,518.68,518.68,518.68,367,518.68,1712650920000,1,
518.67,518.67,518.67,518.67,190,518.67,1712651040000,1,
518.68,518.68,518.68,518.68,100,518.68,1712651220000,1,
518.65,518.65,518.65,518.65,306,518.6494,1712651520000,4,
518.5,518.5,518.5,518.5,621,518.5023,1712651640000,10,
518.51,518.51,518.51,518.51,246,518.51,1712651700000,4,
518.57,518.57,518.57,518.57,121,518.5705,1712651880000,2,
518.57,518.57,518.57,518.57,100,518.57,1712651940000,1,
518.57,518.57,518.57,518.57,160,518.5625,1712652000000,2,
518.55,518.55,518.55,518.55,125,518.55,1712652600000,2,
518.68,518.68,518.68,518.68,138,518.678,1712652840000,4,
518.73,518.73,518.73,518.73,100,518.73,1712653020000,1,
518.85,518.85,518.82,518.82,468,518.8248,1712653560000,6,
518.9,518.9,518.9,518.9,782,518.8997,1712653620000,2,
518.7,518.7,518.7,518.7,457,518.7012,1712653680000,7,
518.75,518.75,518.75,518.75,168,518.7296,1712653740000,7,
518.65,518.65,518.65,518.65,533,518.6624,1712653920000,6,
518.75,518.75,518.75,518.75,150,518.75,1712653980000,1,
518.8,518.8,518.8,518.8,101,518.8001,1712654160000,2,
519,519.03,519,519.03,350,519.0124,1712654520000,3,
519,519,519,519,1054,519,1712654580000,3,
519.05,519.05,519.05,519.05,687,519.05,1712654640000,4,
519.04,519.04,519.04,519.04,317,519.0383,1712654820000,5,
518.99,518.99,518.99,518.99,128,518.9986,1712655000000,3,
518.95,518.95,518.95,518.95,200,518.95,1712655060000,2,
519,519,519,519,101,519,1712655240000,2,
518.87,518.87,518.87,518.87,110,518.8709,1712655480000,2,
518.88,518.88,518.88,518.88,100,518.88,1712655540000,1,
518.87,518.87,518.87,518.87,3000,518.87,1712655660000,11,
518.97,518.99,518.97,518.99,200,518.98,1712655780000,2,
519.09,519.09,519.09,519.09,242,519.0935,1712656020000,10,
519.16,519.16,519.16,519.16,120,519.1567,1712656200000,3,
519.16,519.16,519.16,519.16,714,519.1632,1712656260000,6,
519.15,519.23,519.14,519.23,3215,519.1769,1712656380000,9,
519.14,519.14,519.14,519.14,101,519.1403,1712656440000,2,
