open,high,low,close,volume,vwap,timestamp,transactions,otc
503.42,503.51,503.42,503.5,746,503.4526,1714636800000,19,
503.62,503.62,503.62,503.62,412,503.6186,1714636920000,10,
503.57,503.58,503.56,503.58,833,503.5783,1714636980000,10,
503.57,503.65,503.57,503.65,672,503.6245,1714637100000,9,
503.69,503.69,503.65,503.65,447,503.6638,1714637160000,7,
503.71,503.75,503.71,503.75,740,503.7248,1714637220000,12,
503.75,504.01,503.75,503.95,5923,503.9458,1714637280000,32,
503.95,503.95,503.8,503.8,468,503.8675,1714637340000,8,
503.85,503.88,503.81,503.81,877,503.8388,1714637400000,6,
503.81,503.85,503.81,503.85,834,503.8244,1714637520000,4,
503.81,503.85,503.81,503.85,480,503.84,1714637580000,5,
503.86,503.9,503.86,503.9,1746,503.8629,1714637700000,12,
503.9,503.9,503.9,503.9,268,503.9052,1714637820000,4,
503.93,503.93,503.93,503.93,1189,503.929,1714637880000,6,
503.83,503.83,503.68,503.76,1148,503.7492,1714637940000,15,
503.89,503.89,503.68,503.8,1286,503.7665,1714638000000,6,
503.8,503.8,503.8,503.8,228,503.8014,1714638120000,6,
503.82,503.82,503.82,503.82,520,503.871,1714638180000,7,
503.89,503.89,503.89,503.89,187,503.8772,1714638240000,3,
503.8,503.81,503.78,503.78,543,503.8065,1714638300000,5,
503.78,503.78,503.78,503.78,322,503.7578,1714638480000,6,
503.62,503.66,503.62,503.66,420,503.668,1714638540000,7,
503.76,503.79,503.64,503.64,5531,503.7655,1714638660000,18,
503.73,503.73,503.73,503.73,574,503.7148,1714638720000,3,
503.64,503.64,503.64,503.64,401,503.6401,1714638780000,2,
503.66,503.66,503.61,503.61,528,503.6221,1714638840000,3,
503.49,503.58,503.49,503.58,500,503.5537,1714639020000,8,
503.59,503.59,503.59,503.59,126,503.5901,1714639380000,2,
503.5,503.5,503.49,503.49,317,503.495,1714639560000,5,
503.42,503.42,503.42,503.42,300,503.42,1714639620000,2,
503.4,503.46,503.4,503.46,1200,503.435,1714639680000,6,
503.46,503.46,503.46,503.46,311,503.4576,1714639980000,3,
503.26,503.26,503.2,503.2,305,503.2323,1714640280000,13,
503.15,503.15,503.15,503.15,173,503.1665,1714640460000,5,
503.18,503.18,503.18,503.18,201,503.1801,1714640520000,2,
503.26,503.26,503.26,503.26,107,503.2621,1714640820000,4,
503.43,503.43,503.43,503.43,103,503.428,1714641420000,2,
503.34,503.34,503.34,503.34,100,503.34,1714641960000,1,
503.58,503.58,503.58,503.58,120,503.57,1714642380000,2,
503.49,503.49,503.49,503.49,206,503.4897,1714642500000,2,
503.4,503.4,503.4,503.4,201,503.4004,1714642680000,2,
503.37,503.37,503.37,503.37,2001,503.37,1714642860000,8,
503.4,503.4,503.4,503.4,226,503.3718,1714643100000,10,
503.29,503.29,503.29,503.29,406,503.2896,1714643160000,4,
503.48,503.51,503.48,503.51,4020,503.4988,1714643400000,12,
503.62,503.62,503.62,503.62,149,503.6138,1714643580000,4,
503.62,503.62,503.62,503.62,100,503.62,1714643640000,1,
503.62,503.64,503.62,503.64,1124,503.6224,1714643700000,8,
503.64,503.65,503.64,503.64,626,503.642,1714643820000,4,
503.58,503.58,503.58,503.58,306,503.5808,1714643880000,5,
503.75,503.75,503.64,503.64,389,503.6728,1714644060000,5,
503.56,503.57,503.56,503.57,806,503.5667,1714644120000,9,
503.54,503.54,503.51,503.51,601,503.53,1714644300000,4,
503.63,503.63,503.63,503.63,146,503.6127,1714644360000,3,
503.63,503.76,503.62,503.76,3819,503.6574,1714644420000,14,
503.83,503.83,503.83,503.83,765,503.8249,1714644480000,7,
503.86,503.86,503.85,503.85,554,503.8585,1714644540000,8,
503.86,503.86,503.86,503.86,560,503.8654,1714644600000,3,
503.84,503.84,503.84,503.84,220,503.8455,1714644660000,2,
503.87,503.89,503.87,503.89,202,503.8797,1714644720000,4,
503.71,503.71,503.64,503.7,13599,503.6776,1714644780000,40,
503.69,503.69,503.69,503.69,162,503.6566,1714644840000,6,
503.5,503.5,503.5,503.5,12961,503.5001,1714644960000,70,
503.5,503.5,503.5,503.5,2377,503.5018,1714645020000,10,
