open,high,low,close,volume,vwap,timestamp,transactions,otc
509.67,509.74,509.64,509.68,1881,509.666,1714377600000,40,
509.66,509.66,509.66,509.66,1583,509.6606,1714377660000,10,
509.71,509.71,509.71,509.71,395,509.6771,1714377720000,9,
509.67,509.73,509.67,509.68,4257,509.6939,1714377780000,32,
509.65,509.65,509.63,509.63,340,509.6291,1714377840000,9,
509.6,509.6,509.6,509.6,127,509.5977,1714377900000,5,
509.6,509.6,509.6,509.6,125,509.6058,1714377960000,5,
509.68,509.68,509.68,509.68,335,509.6731,1714378020000,10,
509.73,509.73,509.73,509.73,325,509.7292,1714378080000,2,
509.78,509.83,509.78,509.79,2313,509.8143,1714378140000,13,
509.74,509.8,509.74,509.8,910,509.7548,1714378200000,6,
509.8,509.8,509.8,509.8,247,509.8001,1714378260000,5,
509.8,509.9,509.8,509.9,1341,509.8162,1714378320000,7,
509.84,509.87,509.84,509.87,280,509.8611,1714378380000,4,
509.83,509.83,509.83,509.83,456,509.8263,1714378560000,2,
509.79,509.79,509.76,509.76,354,509.7776,1714378620000,7,
509.78,509.78,509.77,509.78,1386,509.7744,1714378680000,11,
509.72,509.72,509.72,509.72,294,509.7048,1714378740000,11,
509.71,509.71,509.71,509.71,100,509.71,1714378800000,1,
509.77,509.77,509.77,509.77,100,509.77,1714378920000,1,
509.73,509.73,509.73,509.73,196,509.699,1714379400000,7,
509.64,509.64,509.64,509.64,525,509.6403,1714379460000,4,
509.68,509.68,509.68,509.68,160,509.6756,1714379880000,2,
509.6,509.6,509.6,509.6,254,509.5899,1714380480000,5,
509.56,509.56,509.56,509.56,243,509.56,1714380540000,4,
509.55,509.55,509.55,509.55,330,509.5561,1714380600000,4,
509.49,509.49,509.49,509.49,264,509.4966,1714380900000,8,
509.48,509.48,509.43,509.43,264,509.4522,1714381200000,5,
509.46,509.46,509.46,509.46,131,509.4529,1714381380000,2,
509.51,509.51,509.5,509.51,314,509.5065,1714381740000,6,
509.53,509.53,509.53,509.53,216,509.527,1714381800000,3,
509.44,509.44,509.44,509.44,871,509.4399,1714381920000,11,
509.41,509.41,509.41,509.41,345,509.41,1714382160000,4,
509.33,509.33,509.25,509.25,1038,509.267,1714382340000,8,
509.22,509.22,509.18,509.18,4102,509.1854,1714382460000,23,
509.14,509.14,509.09,509.09,478,509.1026,1714382520000,9,
509.09,509.09,509.09,509.09,219,509.102,1714382580000,3,
509.25,509.25,509.17,509.17,5458,509.1882,1714382640000,23,
509.21,509.21,509.21,509.21,558,509.2096,1714382940000,8,
509.2,509.2,509.16,509.16,751,509.1914,1714383240000,9,
509.37,509.37,509.37,509.37,595,509.37,1714383720000,3,
509.33,509.33,509.33,509.33,133,509.3277,1714383960000,3,
509.3,509.3,509.3,509.3,142,509.2979,1714384140000,3,
509.17,509.17,509.17,509.17,101,509.1703,1714384260000,2,
509.09,509.09,509.04,509.08,670,509.0923,1714384380000,13,
509,509,508.96,508.96,1084,508.9801,1714384440000,33,
509.03,509.03,509.03,509.03,204,509.029,1714384500000,4,
508.89,508.89,508.89,508.89,312,508.8936,1714384680000,5,
508.89,508.89,508.89,508.89,702,508.89,1714384740000,8,
508.82,508.95,508.82,508.95,1089,508.9047,1714384800000,24,
509.04,509.04,509.04,509.04,838,509.0385,1714384860000,7,
509.1,509.1,509.07,509.07,266,509.0883,1714385100000,7,
509.04,509.04,509.04,509.04,271,509.0402,1714385160000,2,
509.2,509.2,509.2,509.2,125,509.1981,1714385460000,3,
509.22,509.22,509.22,509.22,150,509.2433,1714385520000,2,
509.21,509.21,509.21,509.21,415,509.2089,1714385700000,5,
509.26,509.26,509.26,509.26,298,509.257,1714385760000,7,
509.3,509.3,509.3,509.3,204,509.2989,1714385820000,3,
509.36,509.36,509.36,509.36,268,509.3589,1714385880000,3,
509.3,509.3,509.3,509.3,238,509.2913,1714386480000,5,
509.32,509.32,509.32,509.32,407,509.319,1714386780000,4,
509.28,509.28,509.28,509.28,201,509.2799,1714386900000,2,
509.26,509.26,509.26,509.26,195,509.2603,1714386960000,2,
509.31,509.31,509.31,509.31,270,509.3117,1714387020000,4,
509.29,509.29,509.29,509.29,1100,509.29,1714387080000,3,
509.34,509.38,509.34,509.38,2804,509.3669,1714387380000,9,
509.48,509.48,509.45,509.45,496,509.4662,1714387440000,3,
509.47,509.47,509.47,509.47,504,509.4698,1714387500000,4,
509.43,509.43,509.42,509.42,741,509.4282,1714387560000,5,
509.47,509.47,509.47,509.47,996,509.47,1714387620000,4,
509.47,509.51,509.47,509.51,1103,509.5062,1714387680000,7,
509.52,509.54,509.51,509.53,2516,509.531,1714387800000,19,
509.52,509.57,509.52,509.57,1886,509.532,1714387860000,16,
509.59,509.59,509.55,509.55,2140,509.5826,1714387920000,13,
