open,high,low,close,volume,vwap,timestamp,transactions,otc
513.63,513.71,512.61,513.71,3665,513.2264,1713168000000,64,
513.65,513.65,513.58,513.64,4104,513.6026,1713168060000,34,
513.64,513.64,513.55,513.6,1473,513.5927,1713168120000,14,
513.63,513.68,513.55,513.55,1924,513.6071,1713168180000,16,
513.54,513.66,513.54,513.65,1204,513.6043,1713168240000,20,
513.62,513.64,513.62,513.64,1675,513.6485,1713168300000,16,
513.69,513.69,513.6,513.6,1279,513.6315,1713168360000,20,
513.59,513.61,513.53,513.61,2272,513.5965,1713168420000,15,
513.46,513.46,513.46,513.46,583,513.4952,1713168480000,9,
513.52,513.52,513.49,513.49,1511,513.5076,1713168600000,14,
513.56,513.64,513.56,513.61,1483,513.5954,1713168660000,8,
513.51,513.51,513.51,513.51,770,513.5143,1713168780000,7,
513.49,513.5,513.49,513.5,1142,513.5169,1713168840000,11,
513.53,513.53,513.53,513.53,460,513.5334,1713168900000,3,
513.65,513.65,513.65,513.65,232,513.6051,1713168960000,5,
513.58,513.58,513.57,513.58,862,513.5744,1713169320000,6,
513.48,513.48,513.48,513.48,409,513.5184,1713169380000,7,
513.52,513.52,513.51,513.51,418,513.5055,1713169440000,7,
513.43,513.43,513.2,513.2,553,513.2988,1713169500000,11,
513.2,513.38,513.2,513.36,1057,513.3284,1713169560000,12,
513.4,513.4,513.3,513.3,625,513.3192,1713169620000,4,
513.25,513.25,513.25,513.25,210,513.251,1713169680000,3,
513.24,513.28,513.24,513.28,606,513.2671,1713169740000,6,
513.39,513.4,513.35,513.4,2882,513.3628,1713169800000,18,
513.42,513.42,513.36,513.36,795,513.3729,1713169920000,9,
513.41,513.41,513.41,513.41,638,513.4146,1713169980000,5,
513.42,513.5,513.39,513.5,851,513.4258,1713170040000,9,
513.49,513.57,513.49,513.57,763,513.5123,1713170100000,7,
513.68,513.68,513.68,513.68,700,513.6686,1713170160000,8,
513.64,513.67,513.64,513.67,349,513.6614,1713170220000,7,
513.66,513.66,513.65,513.65,212,513.6552,1713170280000,6,
513.62,513.62,513.62,513.62,161,513.6298,1713170400000,5,
513.56,513.56,513.56,513.56,205,513.5607,1713170580000,2,
513.45,513.45,513.45,513.45,122,513.4508,1713170700000,4,
513.51,513.51,513.51,513.51,393,513.5123,1713170940000,3,
513.42,513.42,513.42,513.42,407,513.4162,1713171060000,8,
513.41,513.41,513.41,513.41,230,513.4138,1713171120000,8,
513.39,513.39,513.33,513.35,1460,513.3665,1713171180000,9,
513.35,513.35,513.35,513.35,173,513.404,1713171240000,5,
513.54,513.54,513.46,513.46,1730,513.4806,1713171300000,8,
513.39,513.4,513.39,513.4,600,513.3967,1713171360000,8,
513.39,513.39,513.39,513.39,466,513.3898,1713171420000,3,
513.38,513.38,513.38,513.38,359,513.3634,1713171480000,6,
