open,high,low,close,volume,vwap,timestamp,transactions,otc
507.33,507.84,507.3,507.84,774,507.5195,1714118400000,26,
507.25,507.28,507.21,507.22,2166,507.2347,1714118460000,24,
507.25,507.25,507.25,507.25,1055,507.2532,1714118520000,7,
507.4,507.4,507.22,507.23,2820,507.2873,1714118580000,20,
507.33,507.33,507.28,507.3,2873,507.3227,1714118640000,13,
507.29,507.29,507.29,507.29,2065,507.2902,1714118700000,8,
507.4,507.4,507.4,507.4,3134,507.404,1714118760000,10,
507.5,507.5,507.5,507.5,303,507.5018,1714118820000,3,
507.47,507.47,507.43,507.43,834,507.4467,1714118880000,7,
507.48,507.48,507.48,507.48,141,507.4634,1714119000000,3,
507.36,507.36,507.36,507.36,121,507.3598,1714119180000,2,
507.44,507.44,507.44,507.44,330,507.4409,1714119300000,2,
507.44,507.44,507.44,507.44,1101,507.44,1714119360000,5,
507.35,507.36,507.35,507.35,850,507.3512,1714119480000,6,
507.54,507.54,507.54,507.54,133,507.5413,1714119540000,4,
507.53,507.53,507.5,507.5,506,507.5101,1714119600000,4,
507.49,507.49,507.4,507.4,517,507.4291,1714119660000,6,
507.43,507.43,507.43,507.43,104,507.4285,1714119720000,3,
507.31,507.31,507.31,507.31,100,507.31,1714120020000,1,
507.36,507.36,507.36,507.36,226,507.3809,1714120200000,5,
507.3,507.3,507.3,507.3,301,507.2991,1714120500000,4,
507.2,507.2,507.2,507.2,326,507.2,1714120620000,3,
507.16,507.16,507.16,507.16,153,507.1771,1714120800000,4,
507.36,507.36,507.36,507.36,100,507.36,1714121160000,1,
507.31,507.31,507.3,507.31,480,507.3042,1714121220000,3,
507.25,507.26,507.25,507.26,773,507.2552,1714121280000,5,
507.15,507.15,507.15,507.15,519,507.1494,1714121520000,10,
507.12,507.12,507.01,507.01,1042,507.0718,1714121580000,15,
507.01,507.01,507.01,507.01,387,507.0174,1714121640000,5,
507,507,507,507,1545,506.9986,1714121700000,24,
507,507,507,507,528,506.9979,1714121760000,2,
506.99,506.99,506.99,506.99,100,506.99,1714121820000,1,
506.96,506.96,506.95,506.95,703,506.9539,1714121880000,5,
506.97,506.97,506.97,506.97,406,506.9692,1714121940000,6,
506.91,506.91,506.91,506.91,128,506.9203,1714122000000,4,
506.99,506.99,506.99,506.99,390,506.9885,1714122060000,5,
506.93,506.94,506.93,506.94,1766,506.9377,1714122120000,9,
506.92,506.93,506.92,506.93,332,506.9261,1714122180000,3,
506.86,506.86,506.86,506.86,486,506.8716,1714122240000,3,
506.92,506.94,506.92,506.93,1426,506.9221,1714122360000,8,
506.95,506.95,506.95,506.95,302,506.9498,1714122420000,2,
506.89,506.89,506.89,506.89,451,506.8915,1714122540000,8,
506.87,506.87,506.87,506.87,460,506.8707,1714122660000,5,
506.8,506.8,506.66,506.66,1533,506.7378,1714122720000,31,
506.76,506.76,506.71,506.71,657,506.7355,1714122960000,8,
506.67,506.67,506.67,506.67,315,506.6157,1714123020000,12,
506.63,506.63,506.63,506.63,167,506.5939,1714123200000,4,
506.67,506.67,506.63,506.63,476,506.6579,1714123260000,6,
506.68,506.68,506.68,506.68,480,506.6679,1714123380000,3,
506.67,506.67,506.67,506.67,256,506.667,1714123620000,5,
506.65,506.65,506.65,506.65,170,506.65,1714123680000,1,
506.69,506.69,506.69,506.69,250,506.69,1714123800000,2,
506.69,506.69,506.69,506.69,592,506.69,1714123920000,3,
506.82,506.84,506.82,506.84,291,506.8148,1714124040000,4,
506.9,506.9,506.9,506.9,269,506.8972,1714124280000,8,
507.07,507.07,507.07,507.07,101,507.0698,1714124760000,2,
507.06,507.06,507.06,507.06,157,507.0376,1714124820000,3,
507.04,507.04,507.04,507.04,116,507.0402,1714124940000,5,
506.99,506.99,506.99,506.99,380,506.9919,1714125000000,5,
507.01,507.02,507.01,507.02,647,507.0122,1714125060000,7,
507,507,507,507,282,507,1714125120000,1,
506.97,506.97,506.97,506.97,100,506.97,1714125180000,1,
506.86,506.86,506.86,506.86,300,506.86,1714125900000,1,
506.94,506.94,506.94,506.94,200,506.94,1714125960000,1,
507.02,507.02,507.02,507.02,272,507.0104,1714126200000,6,
506.84,506.84,506.84,506.84,877,506.8382,1714126560000,3,
507.04,507.04,507.04,507.04,152,507.0433,1714126800000,3,
507.12,507.12,507.12,507.12,100,507.12,1714126860000,1,
507.08,507.08,507.08,507.08,119,507.0831,1714127160000,3,
507.14,507.15,507.14,507.15,207,507.1441,1714127280000,4,
507.11,507.11,507.11,507.11,521,507.1075,1714127400000,16,
507.14,507.14,507.14,507.14,103,507.1383,1714127460000,3,
507,507,507,507,504,507,1714127520000,2,
506.9,506.9,506.9,506.9,702,506.9,1714127580000,3,
506.89,506.89,506.89,506.89,752,506.8902,1714127640000,4,
506.97,506.97,506.97,506.97,201,506.9699,1714127700000,3,
507.03,507.06,507,507.06,5100,507.0098,1714128060000,17,
507.01,507.01,507,507,5000,507.004,1714128120000,23,
506.98,506.98,506.98,506.98,218,507.0122,1714128240000,4,
507.05,507.05,507.05,507.05,100,507.05,1714128360000,1,
507.11,507.11,507.1,507.1,1008,507.104,1714128480000,5,
507,507,507,507,600,507,1714128780000,4,
507,507,506.93,506.93,4912,506.9943,1714128840000,15,
506.74,506.74,506.65,506.7,5449,506.6639,1714128900000,21,
506.73,506.73,506.73,506.73,326,506.7361,1714129080000,5,
506.82,506.85,506.82,506.85,728,506.8325,1714129140000,5,
506.92,507.01,506.9,507,3230,506.973,1714129200000,31,
507,507.12,507,507.1,9110,507.0302,1714129260000,32,
507.09,507.09,507.09,507.09,353,507.0974,1714129320000,15,
507.13,507.13,506.5,507.07,90119,506.89,1714129380000,401,
507.08,507.1,507.06,507.07,3119,507.0789,1714129440000,14,
507.09,507.13,507.07,507.13,2761,507.0903,1714129500000,10,
507.15,507.19,507.15,507.18,2239,507.1718,1714129560000,19,
507.27,507.36,507.25,507.36,5827,507.2806,1714129620000,30,
507.41,507.41,507.33,507.33,4312,507.3897,1714129680000,31,
507.34,507.36,507.34,507.36,1003,507.3604,1714129800000,14,
507.39,507.47,507.39,507.47,2003,507.4066,1714129860000,15,
507.53,507.53,507.53,507.53,352,507.4986,1714129980000,15,
507.51,507.51,507.49,507.49,1172,507.4926,1714130040000,15,
507.47,507.47,507.47,507.47,417,507.4834,1714130100000,15,
507.45,507.45,507.37,507.37,1348,507.4055,1714130160000,13,
507.44,507.45,507.44,507.45,2009,507.447,1714130220000,19,
507.4,507.43,507.38,507.4,1347,507.3927,1714130280000,11,
507.42,507.42,507.42,507.42,294,507.4167,1714130340000,12,
507.42,507.42,507.42,507.42,246,507.42,1714130400000,9,
507.4,507.44,507.4,507.44,2575,507.4208,1714130460000,18,
507.49,507.49,507.49,507.49,596,507.4888,1714130520000,10,
507.49,507.49,507.4,507.4,1113,507.4277,1714130580000,13,
507.38,507.38,507.26,507.265,2687,507.3158,1714130640000,27,
507.29,507.29,507.22,507.24,6450,507.2674,1714130760000,29,
507.15,507.18,507.15,507.18,587,507.1649,1714130820000,12,
507.3,507.32,507.27,507.31,3828,507.3072,1714131000000,23,
507.25,507.25,507.23,507.25,8526,507.2467,1714131060000,25,
507.26,507.29,507.26,507.29,1079,507.2817,1714131120000,8,
507.2,507.22,507.2,507.22,1142,507.2032,1714131180000,10,
507.25,507.26,507.22,507.22,1147,507.2369,1714131240000,13,
507.2,507.31,507.2,507.31,1257,507.2275,1714131300000,13,
507.18,507.18,507.04,507.05,18103,507.0889,1714131420000,73,
507.06,507.06,507.06,507.06,287,507.047,1714131480000,15,
507,507,506.95,506.95,3869,506.9671,1714131540000,35,
506.93,506.93,506.93,506.93,918,506.9321,1714131600000,14,
506.96,507,506.96,507,563,506.9861,1714131660000,8,
506.95,507,506.95,507,860,506.9662,1714131720000,14,
507.07,507.12,507.07,507.07,953,507.0813,1714131780000,15,
507.14,507.14,507.14,507.14,495,507.1464,1714131840000,11,
