open,high,low,close,volume,vwap,timestamp,transactions,otc
506.25,506.3,506.25,506.3,1256,506.2801,1714723200000,22,
506.4,506.45,506.4,506.45,1323,506.4311,1714723260000,14,
506.37,506.4,506.34,506.4,2697,506.3678,1714723320000,17,
506.37,506.37,506.37,506.37,690,506.3785,1714723380000,7,
506.45,506.5,506.45,506.5,1114,506.473,1714723440000,8,
506.47,506.47,506.43,506.43,615,506.4521,1714723620000,5,
506.47,506.47,506.47,506.47,217,506.47,1714723680000,3,
506.5,506.5,506.5,506.5,155,506.5,1714723740000,2,
506.43,506.43,506.42,506.42,467,506.4091,1714723980000,12,
506.31,506.31,506.31,506.31,145,506.31,1714724100000,1,
506.33,506.33,506.33,506.33,205,506.3401,1714724220000,9,
506.45,506.45,506.39,506.39,212,506.421,1714724400000,5,
506.37,506.37,506.37,506.37,102,506.37,1714724460000,2,
506.37,506.37,506.37,506.37,628,506.3712,1714724520000,7,
506.42,506.42,506.42,506.42,102,506.4202,1714724580000,2,
506.43,506.43,506.43,506.43,553,506.4185,1714724640000,4,
506.52,506.6,506.52,506.6,650,506.5838,1714724880000,7,
506.61,506.61,506.56,506.56,338,506.5855,1714725000000,3,
506.61,506.61,506.61,506.61,500,506.61,1714725120000,2,
506.64,506.64,506.63,506.63,600,506.6317,1714725180000,5,
506.7,506.7,506.7,506.7,502,506.7,1714725240000,4,
506.75,506.75,506.71,506.71,707,506.7439,1714725420000,5,
506.74,506.8,506.74,506.8,951,506.7805,1714725480000,5,
506.71,506.71,506.71,506.71,102,506.7124,1714725540000,2,
506.72,506.72,506.72,506.72,100,506.72,1714725660000,1,
506.7,506.7,506.62,506.62,966,506.6686,1714725720000,8,
506.64,506.66,506.64,506.66,400,506.645,1714725840000,4,
506.61,506.61,506.6,506.6,500,506.608,1714725900000,2,
506.7,506.73,506.7,506.73,797,506.7089,1714725960000,8,
506.75,506.75,506.75,506.75,110,506.75,1714726020000,2,
506.82,506.82,506.82,506.82,106,506.8172,1714726080000,2,
506.79,506.79,506.79,506.79,103,506.7897,1714726380000,2,
506.75,506.75,506.75,506.75,102,506.7508,1714726440000,2,
506.75,506.75,506.75,506.75,103,506.7485,1714726500000,2,
506.71,506.71,506.71,506.71,100,506.71,1714726620000,1,
506.69,506.69,506.69,506.69,151,506.6801,1714726680000,3,
506.71,506.71,506.71,506.71,400,506.71,1714726800000,1,
506.64,506.64,506.64,506.64,162,506.6304,1714726920000,10,
506.65,506.65,506.65,506.65,400,506.65,1714727040000,1,
506.68,506.68,506.68,506.68,100,506.68,1714727160000,1,
506.66,506.66,506.66,506.66,148,506.6535,1714727220000,3,
506.73,506.73,506.73,506.73,195,506.7105,1714727520000,2,
506.6,506.6,506.6,506.6,301,506.6,1714727760000,2,
506.64,506.64,506.62,506.62,1950,506.6338,1714727880000,9,
506.6,506.6,506.6,506.6,411,506.5977,1714727940000,6,
506.55,506.58,506.55,506.58,312,506.5607,1714728000000,5,
506.52,506.52,506.5,506.5,925,506.5006,1714728060000,8,
506.49,506.49,506.49,506.49,102,506.4902,1714728180000,2,
506.49,506.49,506.47,506.47,380,506.4843,1714728240000,13,
506.47,506.49,506.47,506.47,720,506.4816,1714728360000,7,
506.47,506.47,506.45,506.45,305,506.4566,1714728420000,4,
