open,high,low,close,volume,vwap,timestamp,transactions,otc
521.79,521.84,521.79,521.84,1109,521.8158,1712044860000,16,
521.97,522,521.97,522,601,521.9949,1712044920000,5,
522.09,522.11,522.09,522.11,498,522.1113,1712044980000,10,
522.07,522.1,522.07,522.1,459,522.0836,1712045100000,6,
522.02,522.02,522.02,522.02,203,522.0269,1712045280000,3,
521.97,521.97,521.97,521.97,700,521.9837,1712045340000,6,
522.06,522.06,522.01,522.01,493,522.0378,1712045460000,4,
522.02,522.02,522.02,522.02,153,522.03,1712045640000,3,
522.36,522.36,522.35,522.35,307,522.3539,1712045940000,3,
522.29,522.29,522.23,522.23,227,522.2635,1712046060000,5,
522.27,522.27,522.27,522.27,320,522.2634,1712046180000,4,
522.24,522.24,522.24,522.24,129,522.2433,1712046300000,3,
522.32,522.32,522.32,522.32,203,522.32,1712046360000,2,
522.27,522.27,522.27,522.27,201,522.2699,1712046480000,2,
522.2,522.2,522.2,522.2,237,522.2019,1712046780000,3,
522.22,522.22,522.22,522.22,256,522.2189,1712046840000,3,
522.19,522.19,522.19,522.19,276,522.1849,1712046900000,6,
521.96,521.96,521.96,521.96,171,521.9281,1712047260000,9,
521.79,521.79,521.79,521.79,468,521.7937,1712047500000,5,
521.76,521.76,521.76,521.76,337,521.766,1712047680000,4,
521.67,521.67,521.67,521.67,248,521.67,1712047800000,14,
521.62,521.62,521.61,521.61,211,521.6158,1712047860000,4,
521.58,521.58,521.58,521.58,375,521.5813,1712047920000,6,
521.57,521.57,521.57,521.57,965,521.57,1712047980000,8,
521.57,521.65,521.57,521.65,2116,521.5816,1712048040000,8,
521.67,521.67,521.67,521.67,750,521.6693,1712048100000,3,
521.74,521.74,521.74,521.74,1150,521.7391,1712048220000,5,
521.78,521.78,521.78,521.78,286,521.7669,1712048460000,3,
521.96,521.96,521.96,521.96,172,521.9644,1712049180000,2,
521.91,521.91,521.86,521.86,1134,521.9047,1712049360000,11,
521.93,521.93,521.9,521.93,962,521.9196,1712049660000,5,
522.05,522.05,521.99,521.99,603,522.0199,1712049900000,3,
521.84,521.84,521.84,521.84,153,521.8403,1712050260000,4,
521.94,521.94,521.94,521.94,1002,521.94,1712051160000,3,
521.91,521.91,521.91,521.91,174,521.8905,1712051400000,3,
521.67,521.67,521.67,521.67,236,521.6713,1712051520000,9,
521.5,521.5,521.5,521.5,648,521.4916,1712052000000,12,
521.42,521.42,521.42,521.42,370,521.4141,1712052120000,4,
521.4,521.41,521.4,521.41,692,521.409,1712052180000,7,
521.41,521.41,521.34,521.34,483,521.3675,1712052240000,11,
521.32,521.32,521.32,521.32,271,521.32,1712052300000,1,
521.29,521.29,521.29,521.29,541,521.2899,1712052420000,4,
521.31,521.31,521.25,521.25,2291,521.2746,1712052660000,10,
521.26,521.26,521.26,521.26,158,521.2468,1712052720000,7,
521.24,521.24,521.24,521.24,851,521.24,1712052840000,5,
521.23,521.23,521.23,521.23,2003,521.23,1712052900000,7,
521.2,521.2,521.18,521.18,2092,521.1864,1712052960000,11,
521.28,521.28,521.28,521.28,155,521.2863,1712053020000,4,
521.46,521.46,521.46,521.46,400,521.46,1712053200000,1,
521.4,521.4,521.4,521.4,203,521.4049,1712053680000,6,
521.4,521.4,521.4,521.4,201,521.4001,1712053740000,3,
521.44,521.44,521.44,521.44,221,521.4481,1712053800000,3,
521.44,521.44,521.44,521.44,114,521.44,1712053860000,1,
521.02,521.02,521,521,2039,521.0123,1712054340000,94,
520.81,520.85,520.81,520.85,681,520.8271,1712054400000,7,
520.84,520.86,520.81,520.82,1375,520.8317,1712054460000,12,
520.8,520.81,520.8,520.81,1259,520.8087,1712054520000,12,
520.93,520.93,520.93,520.93,5005,520.93,1712054580000,18,
521.04,521.04,521.02,521.02,513,521.0302,1712054700000,5,
521.01,521.01,521.01,521.01,146,521.0189,1712054760000,4,
520.94,520.94,520.94,520.94,102,520.9406,1712054820000,2,
521.03,521.03,521.01,521.01,511,521.0263,1712054880000,4,
521.03,521.03,521.03,521.03,762,521.0304,1712055120000,5,
521,521,521,521,1106,521.0085,1712055180000,6,
521.01,521.01,521.01,521.01,261,521.0259,1712055240000,5,
521.08,521.08,521.08,521.08,1412,521.08,1712055360000,7,
521.2,521.2,521.2,521.2,4526,521.2,1712055420000,13,
521.17,521.17,521.17,521.17,2040,521.1707,1712055600000,21,
521.17,521.17,521.11,521.11,1006,521.159,1712055660000,13,
521.05,521.09,521.05,521.09,450,521.0649,1712055720000,15,
521.18,521.18,521.18,521.18,613,521.1629,1712055780000,7,
521.19,521.22,521.19,521.22,5182,521.1969,1712055840000,21,
521.14,521.14,521.14,521.14,3603,521.1403,1712055960000,16,
521.08,521.08,521.08,521.08,302,521.0799,1712056020000,3,
521.1,521.11,521.1,521.11,5098,521.1061,1712056080000,27,
521.05,521.05,521.05,521.05,462,521.0644,1712056140000,4,
521.11,521.12,521.09,521.09,4161,521.1122,1712056200000,26,
521.041,521.07,521.041,521.07,782,521.0642,1712056260000,7,
521.1,521.1,521.05,521.05,1010,521.095,1712056320000,6,
521.07,521.07,521.07,521.07,522,521.0759,1712056380000,4,
521.09,521.09,521.09,521.09,3709,521.0899,1712056440000,22,
521,521,521,521,1260,521.0013,1712056560000,34,
521,521,521,521,5481,521,1712056620000,11,
521.07,521.07,521.04,521.04,878,521.0613,1712056740000,11,
520.84,520.84,520.84,520.84,600,520.8661,1712056800000,25,
520.8,520.8,520.7,520.78,6413,520.784,1712056860000,47,
520.75,520.75,520.69,520.69,14378,520.7153,1712056920000,56,
520.72,520.72,520.57,520.6,4138,520.6226,1712056980000,34,
520.69,520.69,520.69,520.69,275,520.6813,1712057040000,6,
520.671,520.671,520.671,520.671,174,520.685,1712057100000,7,
520.67,520.67,520.66,520.67,5496,520.6702,1712057160000,27,
520.68,520.68,520.68,520.68,5459,520.6798,1712057220000,27,
520.66,520.7,520.65,520.7,2748,520.6567,1712057280000,16,
520.75,520.8,520.73,520.8,3259,520.7651,1712057340000,30,
520.69,520.79,520.69,520.75,1022,520.7391,1712057400000,11,
520.69,520.76,520.69,520.76,1180,520.7194,1712057460000,14,
520.74,520.74,520.7,520.72,2242,520.7075,1712057520000,26,
520.78,520.78,520.7,520.72,10063,520.7161,1712057580000,46,
520.73,520.73,520.67,520.69,1566,520.6977,1712057640000,13,
520.7,520.74,520.695,520.695,4687,520.7031,1712057700000,28,
520.76,520.8,520.76,520.8,2181,520.7917,1712057760000,19,
520.78,520.82,520.78,520.81,1619,520.8007,1712057820000,18,
520.815,520.82,520.76,520.79,1852,520.7967,1712057880000,16,
520.78,520.83,520.75,520.83,5562,520.7643,1712057940000,22,
520.8,520.8,520.8,520.8,474,520.8136,1712058000000,8,
520.68,520.68,520.67,520.67,371,520.6734,1712058120000,11,
520.66,520.66,520.62,520.62,1462,520.6247,1712058180000,18,
520.63,520.63,520.63,520.63,111,520.6301,1712058240000,2,
520.64,520.64,520.56,520.56,694,520.5877,1712058360000,21,
520.5,520.51,520.47,520.47,2800,520.4897,1712058420000,33,
520.47,520.47,520.39,520.4,955,520.4371,1712058480000,32,
520.37,520.42,520.37,520.39,9017,520.3947,1712058540000,37,
520.4,520.4,520.36,520.36,3766,520.3782,1712058600000,25,
520.411,520.42,520.4,520.42,1188,520.4101,1712058660000,11,
520.39,520.41,520.39,520.4,3724,520.3977,1712058720000,22,
