open,high,low,close,volume,vwap,timestamp,transactions,otc
504.4,504.4,504.19,504.25,8002,504.2874,1713254400000,83,
504.33,504.44,504.25,504.25,1629,504.3333,1713254460000,22,
504.26,504.26,504.26,504.26,448,504.2626,1713254520000,7,
504.34,504.35,504.34,504.35,1165,504.3457,1713254580000,10,
504.41,504.53,504.41,504.53,6669,504.5179,1713254640000,32,
504.19,504.19,504.15,504.18,379,504.1753,1713254760000,8,
504.22,504.22,504.22,504.22,205,504.2164,1713254820000,5,
504.31,504.34,504.31,504.34,332,504.3355,1713254940000,4,
504.46,504.5,504.46,504.5,1703,504.4873,1713255060000,11,
504.52,504.52,504.5,504.5,384,504.5166,1713255120000,5,
504.49,504.5,504.47,504.47,716,504.4884,1713255180000,10,
504.54,504.54,504.54,504.54,232,504.5387,1713255240000,3,
504.37,504.37,504.37,504.37,284,504.398,1713255300000,4,
504.45,504.46,504.45,504.46,2312,504.4503,1713255360000,8,
504.35,504.35,504.35,504.35,1093,504.3488,1713255420000,7,
504.28,504.29,504.28,504.29,325,504.2714,1713255540000,8,
504.21,504.21,504.13,504.13,1165,504.157,1713255600000,25,
504.17,504.17,504.15,504.15,259,504.1712,1713255660000,5,
504.25,504.25,504.25,504.25,186,504.268,1713255720000,4,
504.2,504.2,504.2,504.2,301,504.2,1713255780000,2,
504.15,504.15,504.15,504.15,381,504.135,1713255840000,6,
504.07,504.07,504.07,504.07,520,504.07,1713255900000,3,
504.3,504.3,504.29,504.29,1708,504.2989,1713256020000,12,
504.37,504.37,504.36,504.36,1164,504.3687,1713256260000,6,
504.39,504.39,504.38,504.38,801,504.3863,1713256620000,3,
504.2,504.2,504.2,504.2,612,504.1986,1713256860000,13,
504.18,504.18,504.18,504.18,197,504.2065,1713256920000,6,
504.09,504.09,504.09,504.09,405,504.0907,1713256980000,3,
504.11,504.11,504.08,504.08,517,504.0926,1713257040000,5,
504.04,504.04,504.04,504.04,203,504.0494,1713257100000,4,
504.28,504.28,504.28,504.28,1231,504.2771,1713257280000,6,
504.13,504.13,504.13,504.13,954,504.1475,1713257400000,7,
504.15,504.15,504.15,504.15,706,504.1502,1713257520000,4,
504.1,504.1,504.09,504.09,1500,504.0982,1713257580000,6,
504.18,504.18,504.18,504.18,1005,504.1798,1713257640000,7,
504.45,504.51,504.45,504.51,1517,504.4717,1713257760000,14,
504.51,504.51,504.51,504.51,113,504.5083,1713257820000,4,
504.3,504.3,504.2,504.21,2243,504.2196,1713258000000,19,
504.35,504.35,504.35,504.35,134,504.3406,1713258240000,4,
504.45,504.45,504.45,504.45,705,504.4497,1713258300000,10,
504.49,504.49,504.49,504.49,202,504.4861,1713258360000,7,
504.2,504.35,504.2,504.35,799,504.2368,1713258720000,14,
504.33,504.33,504.33,504.33,360,504.3383,1713258780000,2,
504.14,504.14,504.14,504.14,303,504.1406,1713258960000,3,
504.33,504.33,504.33,504.33,254,504.329,1713259020000,6,
504.25,504.25,504.25,504.25,100,504.25,1713259080000,1,
504.25,504.25,504.25,504.25,1006,504.2493,1713259260000,8,
504.03,504.03,503.87,503.87,825,503.9746,1713259320000,34,
503.86,503.86,503.86,503.86,152,503.8614,1713259380000,5,
503.85,503.85,503.71,503.71,804,503.7488,1713259440000,10,
503.73,503.9,503.73,503.9,333,503.8392,1713259500000,8,
504.28,504.28,504.28,504.28,158,504.2628,1713259620000,5,
504.28,504.28,504.08,504.08,1101,504.2237,1713259740000,8,
504.23,504.23,504.19,504.19,324,504.2033,1713259800000,6,
504.05,504.05,504.02,504.02,541,504.0426,1713259860000,8,
503.61,503.61,503.61,503.61,1126,503.6205,1713260040000,16,
503.77,503.77,503.77,503.77,500,503.77,1713260100000,2,
503.84,503.84,503.84,503.84,269,503.8442,1713260340000,3,
503.84,503.84,503.84,503.84,572,503.8363,1713260640000,5,
503.89,503.89,503.89,503.89,2053,503.889,1713260820000,7,
503.72,503.72,503.72,503.72,494,503.7171,1713261000000,6,
503.54,503.54,503.54,503.54,270,503.5623,1713261060000,9,
503.33,503.38,503.24,503.26,5030,503.3591,1713261180000,30,
503.48,503.63,503.48,503.63,1756,503.4962,1713261240000,7,
503.52,503.88,503.52,503.88,1604,503.5941,1713261300000,12,
503.82,503.9,503.79,503.9,3640,503.833,1713261360000,20,
503.79,504,503.79,503.85,781,503.9351,1713261420000,8,
503.73,503.8,503.71,503.8,3855,503.7378,1713261540000,21,
503.87,503.87,503.87,503.87,150,503.8391,1713261660000,7,
503.8,503.8,503.74,503.77,764,503.7863,1713261840000,10,
