open,high,low,close,volume,vwap,timestamp,transactions,otc
514.2,514.63,514.2,514.63,2684,514.2943,1712822400000,17,
514.29,514.29,514.29,514.29,138,514.3273,1712822460000,7,
514.44,514.5,514.38,514.5,4082,514.4228,1712822580000,20,
514.43,514.43,514.4,514.4,1004,514.41,1712822640000,8,
514.41,514.53,514.41,514.53,309,514.4586,1712822700000,4,
514.47,514.47,514.47,514.47,138,514.471,1712822820000,3,
514.62,514.62,514.62,514.62,189,514.5897,1712822940000,4,
514.52,514.52,514.45,514.45,527,514.4709,1712823120000,3,
514.39,514.39,514.39,514.39,137,514.3912,1712823180000,2,
514.36,514.37,514.36,514.37,201,514.3651,1712823240000,3,
514.37,514.37,514.37,514.37,622,514.37,1712823420000,2,
514.5,514.5,514.5,514.5,201,514.4999,1712823540000,2,
514.26,514.26,514.26,514.26,250,514.254,1712823840000,4,
514.25,514.25,514.25,514.25,408,514.2421,1712823900000,7,
514.29,514.29,514.29,514.29,161,514.2816,1712824020000,4,
514.19,514.19,514.19,514.19,613,514.19,1712824380000,8,
514.23,514.23,514.2,514.2,5004,514.2176,1712824440000,15,
514.2,514.2,514.2,514.2,265,514.2196,1712824500000,2,
514.17,514.17,514.17,514.17,401,514.1701,1712824860000,2,
514.39,514.39,514.39,514.39,154,514.3803,1712825100000,6,
513.99,513.99,513.97,513.97,612,513.9911,1712825280000,26,
513.9,513.9,513.9,513.9,215,513.9023,1712825340000,9,
513.87,513.87,513.86,513.87,655,513.8627,1712825400000,10,
513.72,513.72,513.72,513.72,535,513.7205,1712825460000,7,
513.65,513.65,513.55,513.55,994,513.6287,1712825520000,15,
513.58,513.58,513.58,513.58,103,513.5815,1712825580000,2,
513.71,513.71,513.71,513.71,308,513.71,1712825640000,2,
513.64,513.64,513.64,513.64,221,513.6355,1712825760000,3,
513.65,513.65,513.55,513.55,5506,513.6032,1712825880000,26,
513.44,513.44,513.4,513.4,350,513.4202,1712825940000,10,
513.29,513.29,513.29,513.29,2386,513.2926,1712826000000,22,
513.29,513.29,513.29,513.29,942,513.29,1712826120000,10,
513.39,513.4,513.39,513.39,1001,513.3921,1712826180000,8,
513.45,513.45,513.45,513.45,700,513.45,1712826300000,2,
513.5,513.5,513.4,513.4,404,513.475,1712826360000,3,
513.3,513.3,513.28,513.28,1001,513.284,1712826420000,4,
